input_id,title,address,website,phone,cid,owner,emails
49a547f7-f05b-4cd7-aa75-e976d25ec016,Ko Kung Korean Restaurant,"74 ,Soi 26,Sukhumvit Rd. Sukhumvit Rd, klongton klongtoey Bangkok 10110",https://www.kokung.com/,02 261 0560,1770700676538309005,"{""id"":""117345094788915504047"",""name"":""Ko Kung Korean Restaurant (Owner)"",""link"":""https://www.google.com/maps/contrib/117345094788915504047""}",
49a547f7-f05b-4cd7-aa75-e976d25ec016,Arirang,"212, Arirang, 4-5 Sukhumvit Rd, Khlong Toei, Bangkok 10110",http://www.arirang.co.th/,02 653 0177,12525642302253129769,"{""id"":""106977698009246380921"",""name"":""Arirang (Owner)"",""link"":""https://www.google.com/maps/contrib/106977698009246380921""}",
49a547f7-f05b-4cd7-aa75-e976d25ec016,Sorabol,"PHCC+89M Sorabol, Sukhumvit Rd, Khlong Tan, Khlong Toei, Bangkok 10110",https://www.facebook.com/sorabolkoreanrestaurant,02 204 1203,15397737173936943889,"{""id"":"""",""name"":""Sorabol (Owner)"",""link"":""""}",
49a547f7-f05b-4cd7-aa75-e976d25ec016,Jang Won,"212 Jang Won, 9-10 Suk Chai Alley, Khlong Toei, Bangkok 10110",https://www.facebook.com/JangWonKoreanBBQBangkok/,02 251 2636,17598661400659235590,"{""id"":""108379661745989566004"",""name"":""Jang Won (Owner)"",""link"":""https://www.google.com/maps/contrib/108379661745989566004""}",
49a547f7-f05b-4cd7-aa75-e976d25ec016,Kim Jeong Grill,"21 Sukhumvit 61, Khwaeng Khlong Tan Nuea, Watthana, Bangkok 10110",https://www.facebook.com/KimJGrill/,061 971 5265,11046561067251827426,"{""id"":""101769535223507943527"",""name"":""Kim Jeong Grill (Owner)"",""link"":""https://www.google.com/maps/contrib/101769535223507943527""}",
49a547f7-f05b-4cd7-aa75-e976d25ec016,Hwa Shin,"Nakhon, 212 Suk Chai Alley, Khlong Toei, Bangkok 10110",https://hwashin2018.wixsite.com/hwashin,02 653 1320,15221860503277976487,"{""id"":"""",""name"":""Hwa Shin (Owner)"",""link"":""""}",
49a547f7-f05b-4cd7-aa75-e976d25ec016,Myeongdong Korean Restaurant,"2 Myeongdong Korean Restaurant 21 Sukhumvit Rd, Khlong Toei Nuea, Watthana, Bangkok 10110",,02 653 0116,7446142407325792920,"{""id"":"""",""name"":""Myeongdong Korean Restaurant (Owner)"",""link"":""""}",
49a547f7-f05b-4cd7-aa75-e976d25ec016,DARAK Korean Restaurant,"12 Sukhumvit Rd, Khlong Tan, Khlong Toei, Bangkok 10110",,02 251 8844,10009132249728364767,"{""id"":""109070692279926935169"",""name"":""DARAK Korean Restaurant (Owner)"",""link"":""https://www.google.com/maps/contrib/109070692279926935169""}",
49a547f7-f05b-4cd7-aa75-e976d25ec016,Korean Spoon,"ห้องเลขที่ 201, Korean Spoon, อาคารโครงการเดอะคริสตัลเอกมัย-รามอินทราอาคารอีชั้นที่ 2, 202 Pradit Manutham Rd, Lat Phrao, Bangkok 10230",,090 906 0609,7559321389647353387,"{""id"":"""",""name"":""Korean Spoon (Owner)"",""link"":""""}",
49a547f7-f05b-4cd7-aa75-e976d25ec016,SURA Korean BBQ_by Korean Chef,"32/1 Soi Sukhumvit 39, Khlong Tan Nuea, Watthana, Bangkok 10110",https://www.facebook.com/Surabbqinbangkok/,02 077 9263,15458978980527508535,"{""id"":""116203173744221893804"",""name"":""SURA Korean BBQ_by Korean Chef (Owner)"",""link"":""https://www.google.com/maps/contrib/116203173744221893804""}",
